District,xMin,yMin,xMax,yMax,
NorthGoa,73.6793060302734,15.2678508758545,74.2872772216797,15.7975292205811,NORTH GOA
Patan,71.0458679199219,23.3973484039307,72.5346527099609,24.139232635498,
RangaReddy,77.359992980957,16.8431625366211,78.8489608764648,17.7086429595947,CHEVELLA
Rupnagar,76.2773590087891,30.7490196228027,76.7254791259766,31.441349029541,ANANDPUR SAHIB
Tirunelveli,77.1321792602539,8.13291835784912,77.9634704589844,9.40818119049072,
Visakhapatnam,81.8581695556641,17.2462520599365,83.4774475097656,18.5384578704834,
Anantapur,76.7569885253906,13.6757907867432,78.4616165161133,15.2256231307983,
Barddhaman,86.7909393310547,22.9307708740234,88.4160614013672,23.8799533843994,BARDHAMAN
Chandigarh,76.6906280517578,30.6693172454834,76.836296081543,30.7990417480469,
Chitradurga,76.0228500366211,13.5690221786499,77.02001953125,15.0301313400269,
Chittoor,78.0583419799805,12.6118402481079,80.0397567749024,13.9848108291626,
Indore,75.4232177734375,22.3356246948242,76.243896484375,23.0933895111084,
Jamnagar,69.7526397705078,21.6886711120605,70.6778259277344,22.9659004211426,
Kendujhar,85.1806869506836,21.0081405639648,86.3700180053711,22.1586017608643,KEONJHAR
Kolhapur,73.6989593505859,15.7393112182617,74.7059631347656,17.1787891387939,
Krishnagiri,77.4629516601563,12.1284608840942,78.65966796875,12.8783702850342,
Kurnool,76.9701385498047,14.8923892974854,78.925537109375,16.1595420837402,
Ludhiana,75.3428573608398,30.5629291534424,76.3373489379883,31.021390914917,
Mumbaisuburban,72.7759704589844,18.8906955718994,72.9846801757813,19.2692165374756,
Mysore,75.9067993164063,11.7304992675781,77.1257858276367,12.649640083313,
Nalgonda,78.6073760986328,16.3628101348877,80.0696716308594,17.8049907684326,
Navimumbai,72.7759704589844,18.8906955718994,72.9846801757813,19.2692165374756,
Palwal,77.1686859130859,27.8519916534424,77.5373382568359,28.2788162231445,FARIDABAD
PanchMahals,73.3568878173828,22.2851905822754,73.9342269897461,23.1092205047607,PANCHMAHAL
Puducherry,79.6423416137695,11.8083992004395,79.8376388549805,12.0192613601685,PONDICHERRY
Rewari,76.2994689941406,27.9705410003662,76.8543395996094,28.4338188171387,GURGAON
Sehore,76.4437713623047,22.5620918273926,78.0292892456055,23.6907806396484,BHOPAL
Sirmaur,77.0047073364258,30.3845195770264,77.8122024536133,31.0264701843262,SHIMLA
SouthGoa,73.7606964111328,14.895658493042,74.3416519165039,15.4895210266113,SOUTH GOA
Washim,76.6055297851563,19.8468399047852,77.6875457763672,20.7611427307129,YAVATMAL-WASHIM
Vellore,78.3961868286133,12.2463417053223,79.7767791748047,13.1956930160522,
Tiruvannamalai,78.6201400756836,11.9677591323853,79.7429733276367,12.8596906661987,
Kheda,72.5162658691406,22.4987106323242,73.5810165405273,23.2890510559082,
Sidhi,81.2983474731445,23.8094997406006,82.3710327148438,24.6219120025635,
Hisar,75.254753112793,28.9029788970947,76.3076400756836,29.5833702087402,
Sundargarh,83.5324478149414,21.5845508575439,85.3710784912109,22.5288105010986,
