U28900MH1984PTC034016,BHANSALI ENGINEERING INDUSTRIES PRIVATE LIMITED,Factory/plant,Abu Road plant: Sirohi District - 307026 Rajasthan - India Phone : 02974-226781 Fax : 02974-226737 Email :rpsraghav@bhansaliabs.com Internet :,24.4454258,72.7507354,Abu Rd,Abu Rd,Rajasthan
L65921WB1992PLC056686,KWALITY CREDIT & LEASING LTD,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
L70200WB1995PLC073553,KWALITY BUILDERS AND DEVELOPERS LIMITED,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
L74899DL1992PLC255519,KWALITY LIMITED,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
U15122DL2008PTC185437,KWALITY ICE CREAMS AND PROCESSED FOODS (INDIA) PRIVATE LIMITED,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
U17110GJ1994PTC022254,KWALITY SILK PROCESSORS PRIVATE LIMITED,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
U24231GJ1995PLC026093,KWALITY FANTASY LIMITED,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
U55209DL2008PTC176860,KWALITY GLOBAL PRIVATE LIMITED,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
U74140DL2012PTC242798,KWALITY DAIRY INVESTMENTS PRIVATE LIMITED,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
U74899DL1977PTC008685,KWALITY PROCESSED FOOD SERVICES AND EQUIPMENT PRIVATE LIMITED,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
U74899DL1994PTC061361,KWALITY FINANCIAL SERVICES PRIVATE LIMITED,Factory/plant,Village: Jarar Agra District - Uttar Pradesh - India Phone : Fax : Email : Internet :,26.869655,78.5689242,Jarar,Agra,Uttar Pradesh
L51909PB2000PLC023679,SEL MANUFACTURING COMPANY LIMITED,Factory/plant,Plot No.2 Taj Nagari Phase-1 Agra - Uttar Pradesh - India Phone : Fax : Email : Internet :,27.1346884,78.0211462,Kotali,Agra,Uttar Pradesh
L34102MH1999PLC123296,ENDURANCE TECHNOLOGIES LIMITED (CN),Factory/plant,Plot nos. E4 and E21 GIDC Phase 2 Sanand - 382110 Gujarat - India Phone : Fax : Email : Internet :,22.9801041,72.272717,Ahmedabad,Ahmedabad,Gujarat
U34102MH1999PTC123296,ENDURANCE TECHNOLOGIES PRIVATE LIMITED (CN),Factory/plant,Plot nos. E4 and E21 GIDC Phase 2 Sanand - 382110 Gujarat - India Phone : Fax : Email : Internet :,22.9801041,72.272717,Ahmedabad,Ahmedabad,Gujarat
L17111GJ2003PLC043354,CIL NOVA PETROCHEMICALS LIMITED,Registered Office & Factory,Survey No. 396(P) 395/4(P) Ahmedabad - 382210 Gujarat - India Phone : 2717-250556 Fax : 2717-250556 Email :investorgrievances.cilnova@chiripalgroup.com Internet : http://www.cnpcl.com,22.9149164,72.4339364,Ahmedabad,Ahmedabad,Gujarat
L74999RJ1938PLC019511,JK LAKSHMI CEMENT LIMITED,Factory/plant,Village Motibhoyan Gandhinagar District - 382010 Gujarat - India Phone : Fax : Email : Internet :,23.1770706,72.4418306,Ahmedabad,Ahmedabad,Gujarat
U01100MH1982PTC028076,ARVIND AGRICULTURAL PRODUCTS PVT LIMITED,Factory/plant,Arvind Polycot Gandhi Nagar Dist. - 382721 Gujarat - India Phone : 2764-395000 Fax : Email : Internet :,23.1524652,72.4472809,Ahmedabad,Ahmedabad,Gujarat
U15174GJ1995PTC025178,ARVIND FARMS PVT LTD,Factory/plant,Arvind Polycot Gandhi Nagar Dist. - 382721 Gujarat - India Phone : 2764-395000 Fax : Email : Internet :,23.1524652,72.4472809,Ahmedabad,Ahmedabad,Gujarat
L24230GJ1995PLC025878,CADILA HEALTHCARE LIMITED,Factory/plant,API Unit : Ahmedabad - 382210 Gujarat - India Phone : Fax : Email : Internet :,22.869808,72.460815,Ahmedabad,Ahmedabad,Gujarat
L24230GJ1995PLC025878,CADILA HEALTHCARE LIMITED,Factory/plant,Formulation Unit: Ahmedabad District - 382210 Gujarat - India Phone : Fax : Email : Internet :,22.869808,72.460815,Ahmedabad,Ahmedabad,Gujarat
L24230GJ1995PLC025878,CADILA HEALTHCARE LIMITED,Factory/plant,Topical Unit: Ahmedabad District - 382210 Gujarat - India Phone : Fax : Email : Internet :,22.869808,72.460815,Ahmedabad,Ahmedabad,Gujarat
U24231GJ1991PLC015132,CADILA PHARMACEUTICALS LIMITED,Factory/plant,API Unit : Ahmedabad - 382210 Gujarat - India Phone : Fax : Email : Internet :,22.869808,72.460815,Ahmedabad,Ahmedabad,Gujarat
U24231GJ1991PLC015132,CADILA PHARMACEUTICALS LIMITED,Factory/plant,Formulation Unit: Ahmedabad District - 382210 Gujarat - India Phone : Fax : Email : Internet :,22.869808,72.460815,Ahmedabad,Ahmedabad,Gujarat
U24231GJ1991PLC015132,CADILA PHARMACEUTICALS LIMITED,Factory/plant,Topical Unit: Ahmedabad District - 382210 Gujarat - India Phone : Fax : Email : Internet :,22.869808,72.460815,Ahmedabad,Ahmedabad,Gujarat
U65910GJ1984PTC006881,VADILAL FINANCE COMPANY PRIVATE LIMITED,Factory/plant,Forex Division: Ahmedabad - Gujarat - India Phone : 079-26564025 Fax : Email : Internet :,23.0313585,72.472968,Ahmedabad,Ahmedabad,Gujarat
L63090GJ1991PLC014833,DEEP INDUSTRIES LIMITED,Factory/plant,Near Jalaram Polymers Sanand - Gujarat - India Phone : Fax : Email : Internet :,23.0273712,72.4866946,Ahmedabad,Ahmedabad,Gujarat
U45200GJ2007PTC051699,SANDESH PROCON PRIVATE LIMITED,Registered Office & Factory,Sandesh Bhavan Ahmedabad - 380054 Gujarat - India Phone : 079-40004000 Fax : 079-40004242 Email :investorsgrievance@sandesh.com Internet : http://www.sandesh.com,23.0134816,72.4957513,Ahmedabad,Ahmedabad,Gujarat
U72200MH1992PLC064841,DATAMATICS INTERCON LIMITED,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0134816,72.4957513,Ahmedabad,Ahmedabad,Gujarat
U74140MH1975PLC018439,DATAMATICS LIMITED,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0134816,72.4957513,Ahmedabad,Ahmedabad,Gujarat
U74140MH1998PTC113622,DATAMATICS MANAGEMENT SERVICES PRIVATE LIMITED,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0134816,72.4957513,Ahmedabad,Ahmedabad,Gujarat
U74140MH2003PLC140165,DATAMATICS STAFFING SERVICES LIMITED,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0134816,72.4957513,Ahmedabad,Ahmedabad,Gujarat
U74210MH2002PLC137394,DATAMATICS SOFTWORLD LIMITED,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0134816,72.4957513,Ahmedabad,Ahmedabad,Gujarat
U74300MH1995PTC085970,DATAMATICS DIRECT MARKETING PRIVATE LIMITED.,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0134816,72.4957513,Ahmedabad,Ahmedabad,Gujarat
U93090TN2013PLC092596,DATAMATICS ERETAIL AND PUBLISHING LIMITED,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0134816,72.4957513,Ahmedabad,Ahmedabad,Gujarat
U72200MH1992PLC064841,DATAMATICS INTERCON LIMITED,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9945258,72.4988222,Ahmedabad,Ahmedabad,Gujarat
U72400MH1992PLC064912,DATAMATICS SOFTWARE SOLUTIONS LIMITED,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9945258,72.4988222,Ahmedabad,Ahmedabad,Gujarat
U74140MH1998PTC113622,DATAMATICS MANAGEMENT SERVICES PRIVATE LIMITED,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9945258,72.4988222,Ahmedabad,Ahmedabad,Gujarat
U74140MH2003PLC140165,DATAMATICS STAFFING SERVICES LIMITED,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9945258,72.4988222,Ahmedabad,Ahmedabad,Gujarat
U74210MH2002PLC137394,DATAMATICS SOFTWORLD LIMITED,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9945258,72.4988222,Ahmedabad,Ahmedabad,Gujarat
U74300MH1995PTC085970,DATAMATICS DIRECT MARKETING PRIVATE LIMITED.,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9945258,72.4988222,Ahmedabad,Ahmedabad,Gujarat
U93090TN2013PLC092596,DATAMATICS ERETAIL AND PUBLISHING LIMITED,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9945258,72.4988222,Ahmedabad,Ahmedabad,Gujarat
L72200MH1987PLC045205,DATAMATICS GLOBAL SERVICES LIMITED,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9929931,72.4989465,Ahmedabad,Ahmedabad,Gujarat
U74140MH1975PLC018439,DATAMATICS LIMITED,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9929931,72.4989465,Ahmedabad,Ahmedabad,Gujarat
U99999MH1981PLC125014,DATAMATICS SOFTWARE SERVICES LIMITED,Software Development Centre,A- 103 Siddhivinayak Towers Ahmedabad - 380051 Gujarat - India Phone : Fax : Email : Internet :,22.9929931,72.4989465,Ahmedabad,Ahmedabad,Gujarat
L24294WB1981PLC033902,ZENITH EXPORTS LIMITED,Factory/plant,Zenith Spinners : Ahmedabad District - 387810 Gujarat - India Phone : Fax : Email : Internet :,23.0288032,72.508882,Ahmedabad,Ahmedabad,Gujarat
U01407MH2010PTC208926,ROYAL ORCHID EXIM PRIVATE LIMITED,Factory/plant,Royal Orchid Central Grazia: Mumbai - 400703 Maharashtra - India Phone : Fax : Email : Internet :,23.037154,72.512117,Ahmedabad,Ahmedabad,Gujarat
U01407MH2010PTC208926,ROYAL ORCHID EXIM PRIVATE LIMITED,Factory/plant,Regenta: Ahmedabad - 380013 Gujarat - India Phone : Fax : Email : Internet :,23.037154,72.512117,Ahmedabad,Ahmedabad,Gujarat
L45400GJ1988PLC011322,SADBHAV ENGINEERING LIMITED,Factory/plant,Village Ognaj Ahmedabad District - Gujarat - India Phone : Fax : Email : Internet :,23.1141539,72.5158152,Ahmedabad,Ahmedabad,Gujarat
U74990DL2012PTC239408,SKIPPER HEALTHCARE PRIVATE LIMITED,Factory/plant,Ahmedabad Unit : Ahmedabad - 382220 Gujarat - India Phone : Fax : Email : Internet :,23.0020798,72.5175482,Ahmedabad,Ahmedabad,Gujarat
U70109DL2011PTC219060,BLUE STAR REALTY PRIVATE LIMITED,Factory/plant,501/3 503/2 Ahmedabad - 382213 Gujarat - India Phone : Fax : Email : Internet :,23.0398891,72.5189306,Ahmedabad,Ahmedabad,Gujarat
L24111UR1983PLC009097,INDIA GLYCOLS LIMITED,Factory/plant,Block No. 229-230 Ahmedabad - 387810 Gujarat - India Phone : Fax : Email : Internet :,23.1124567,72.5239431,Ahmedabad,Ahmedabad,Gujarat
U50300MH1997PLC149349,TATA MOTORS INSURANCE BROKING AND ADVISORY SERVICE S LIMITED,Factory/plant,Cars Unit : Ahmedabad District - 380015 Gujarat - India Phone : Fax : Email : Internet :,23.0298,72.5268666,Ahmedabad,Ahmedabad,Gujarat
L17110GJ1986PLC008942,JINDAL WORLDWIDE LIMITED,Factory/plant,206 Chikuwadi Ahmedabad - 382445 Gujarat - India Phone : Fax : Email : Internet :,23.0190493,72.5280321,Ahmedabad,Ahmedabad,Gujarat
U65100MH2008PLC182588,RELIANCE FINANCIAL ADVISORY SERVICES LIMITED,Factory/plant,103/106 Ahmedabad - 382330 Gujarat - India Phone : Fax : Email : Internet :,22.9947585,72.5310198,Ahmedabad,Ahmedabad,Gujarat
L72200MH1987PLC045205,DATAMATICS GLOBAL SERVICES LIMITED,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0400705,72.531482,Ahmedabad,Ahmedabad,Gujarat
U51101MH2007PLC171321,RELIANCE FOOTPRINT LIMITED,Factory/plant,103/106 Ahmedabad - 382330 Gujarat - India Phone : Fax : Email : Internet :,23.0400705,72.531482,Ahmedabad,Ahmedabad,Gujarat
U99999MH1981PLC125014,DATAMATICS SOFTWARE SERVICES LIMITED,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0400705,72.531482,Ahmedabad,Ahmedabad,Gujarat
L40100GJ1981PLC004755,TORRENT POWER SEC LIMITED,Factory/plant,Generation Unit: Ahmedabad - 380005 Gujarat - India Phone : Fax : Email : Internet :,23.0595484,72.536585,Ahmedabad,Ahmedabad,Gujarat
L51909GJ1913PLC003726,TORRENT POWER AEC LIMITED,Factory/plant,Generation Unit: Ahmedabad - 380005 Gujarat - India Phone : Fax : Email : Internet :,23.0595484,72.536585,Ahmedabad,Ahmedabad,Gujarat
U40109GJ2005PTC046879,TORRENT POWER SERVICES PRIVATE LIMITED,Factory/plant,Generation Unit: Ahmedabad - 380005 Gujarat - India Phone : Fax : Email : Internet :,23.0595484,72.536585,Ahmedabad,Ahmedabad,Gujarat
U72300DL2007PTC172019,NAVNEET INFOTECH PRIVATE LIMITED,Factory/plant,Rakanpur Mehsana Dist. - Gujarat - India Phone : Fax : Email : Internet :,23.1136346,72.5412112,Ahmedabad,Ahmedabad,Gujarat
U45201MH2006PTC162951,RELIANCE PROJECTS FINANCE PRIVATE LIMITED,Factory/plant,103/106 Ahmedabad - 382330 Gujarat - India Phone : Fax : Email : Internet :,23.027161,72.5451935,Ahmedabad,Ahmedabad,Gujarat
U72900MH2000PTC125367,RELIANCE INFRASTRUCTURE FINANCE PRIVATE LIMITED,Factory/plant,103/106 Ahmedabad - 382330 Gujarat - India Phone : Fax : Email : Internet :,23.027161,72.5451935,Ahmedabad,Ahmedabad,Gujarat
U72400MH1992PLC064912,DATAMATICS SOFTWARE SOLUTIONS LIMITED,Software Development Centre,Ground Floor Ahmedabad - 380054 Gujarat - India Phone : 079-40207999 Fax : 079-40207900 Email : Internet :,23.0470882,72.5456805,Ahmedabad,Ahmedabad,Gujarat
U92100MH2013PTC239849,RELIANCE JIO MEDIA PRIVATE LIMITED,Factory/plant,103/106 Ahmedabad - 382330 Gujarat - India Phone : Fax : Email : Internet :,23.0286538,72.5459891,Ahmedabad,Ahmedabad,Gujarat
L25190GJ1991PLC016327,MAHALAXMI RUBTECH LIMITED,Factory/plant,Uma Industrial Estate Ahmedabad District - Gujarat - India Phone : 02717-284309 Fax : 02717-284152 Email : Internet :,23.023497,72.549147,Ahmedabad,Ahmedabad,Gujarat
L25190GJ1991PLC016327,MAHALAXMI RUBTECH LIMITED,Factory/plant,Mahalaxmi Fabric Mills: Ahmedabad - 382405 Gujarat - India Phone : 079-25731831 Fax : 079-25731814 Email : Internet :,23.023497,72.549147,Ahmedabad,Ahmedabad,Gujarat
L25200GJ1996PLC028679,AHIMSA INDUSTRIES LIMITED,Factory/plant,160 Devraj Industrial Park Ahmedabad - 382405 Gujarat - India Phone : 079-29708292 Fax : Email :ceo@greenpet.in Internet : http://www.greenpet.in,22.9382291,72.5501765,Ahmedabad,Ahmedabad,Gujarat
L74140GJ1982PLC005215,MASTEK LIMITED,Software Development Centre,804/805 President House Ahmedabad - 380006 Gujarat - India Phone : 079-26564337 Fax : Email : Internet :,23.0216014,72.5532386,Ahmedabad,Ahmedabad,Gujarat
L65910GJ1993PLC020844,MADHUR CAPITAL AND FINANCE LIMITED,Factory/plant,Madhur Complex Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0493403,72.5543341,Ahmedabad,Ahmedabad,Gujarat
L65910GJ1993PLC020844,MADHUR CAPITAL AND FINANCE LIMITED,Registered Office & Factory,Madhur Complex Ahmedabad - 380009 Gujarat - India Phone : 079-26563861 Fax : 079-6563861 Email :info@madhurindustrieslimited.com Internet : http://www.madhurcapital.co.in,23.0493403,72.5543341,Ahmedabad,Ahmedabad,Gujarat
L11100GJ2005PLC048030,RELIANCE PETROLEUM LIMITED,Factory/plant,103/106 Ahmedabad - 382330 Gujarat - India Phone : Fax : Email : Internet :,23.0197481,72.5546439,Ahmedabad,Ahmedabad,Gujarat
U74200MH2003PTC140333,MASTEK OUTSOURCING SERVICES PRIVATE LIMITED,Software Development Centre,804/805 President House Ahmedabad - 380006 Gujarat - India Phone : 079-26564337 Fax : Email : Internet :,23.0324897,72.5547785,Ahmedabad,Ahmedabad,Gujarat
L65990MH1990PLC056669,VAKRANGEE LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U01403MH2008PTC178556,VAKRANGEE INFRAPROJECTS LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U25209DL1992PLC175740,VAKRANGEE PRESS LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U30000MH2005PLC156864,VAKRANGEE TECHNOLOGIES LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U40300MH2009PTC197928,VAKRANGEE ENERGY PRIVATE LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U65993MH2007PTC176495,VAKRANGEE HOLDINGS PRIVATE LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U67110MH2006PTC161892,VAKRANGEE SHARES & STOCK BROKERS PRIVATE LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U72200MH2007PLC175824,VAKRANGEE IT SOLUTIONS LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U74900MH1989PTC053563,VAKRANGEE CAPITAL PRIVATE LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U74930MH2011PLC221655,VAKRANGEE FINSERVE LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U74990MH2007PTC169221,VAKRANGEE MULTI COMMODITIES PRIVATE LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
U74999MH2011PLC215694,VAKRANGEE LACTEUS AND HORTUS LIMITED,Software Development Centre,Unit No 608 Amarnath Business Center -1 Ahmedabad - 380009 Gujarat - India Phone : Fax : Email : Internet :,23.0330683,72.5547915,Ahmedabad,Ahmedabad,Gujarat
L65990MH1985PLC037697,WEIZMANN FOREX LIMITED,Factory/plant,Vatva Road Ahmedabad - Gujarat - India Phone : Fax : Email : Internet :,23.0251826,72.5564862,Ahmedabad,Ahmedabad,Gujarat
U74999MH1997PLC110217,WEIZMANN FOREX LIMITED,Factory/plant,Vatva Road Ahmedabad - Gujarat - India Phone : Fax : Email : Internet :,23.0251826,72.5564862,Ahmedabad,Ahmedabad,Gujarat
L51909WB1991PLC053283,KANCO ENTERPRISES LIMITED,Factory/plant,Kanco Overseas: Ahmedabad District - 387810 Gujarat - India Phone : Fax : Email : Internet :,23.0232151,72.5565886,Ahmedabad,Ahmedabad,Gujarat
U15149GJ1986PTC008512,VADILAL INTERNATIONAL PRIVATE LIMITED,Factory/plant,Forex Division: Ahmedabad - Gujarat - India Phone : 079-26564025 Fax : Email : Internet :,23.0261653,72.5573309,Ahmedabad,Ahmedabad,Gujarat
U72900MH2000PTC124367,RELIANCE EQUITIES INTERNATIONAL PRIVATE LIMITED,Factory/plant,103/106 Ahmedabad - 382330 Gujarat - India Phone : Fax : Email : Internet :,23.0261653,72.5573309,Ahmedabad,Ahmedabad,Gujarat
L85110GJ1994PLC022543,CLARIS LIFESCIENCES LIMITED,Factory/plant,Village: Chacharwadi Ahmedabad - 382213 Gujarat - India Phone : Fax : Email : Internet :,23.0170638,72.5575642,Ahmedabad,Ahmedabad,Gujarat
L51909GJ1994PLC022719,NANDAN DENIM LIMITED,Registered Office & Factory,Survey No. 198/1 203/2 Ahmedabad - 382405 Gujarat - India Phone : 079-26734660 Fax : 079-26768656 Email :nandan@chiripalgroup.com Internet : http://www.chiripalgroup.com,22.9658493,72.559939,Ahmedabad,Ahmedabad,Gujarat
L24230GJ1992PLC017592,KRIPTOL INDUSTRIES LIMITED,Factory/plant,123 Saijpur Gopalpur Ahmedabad District - 382405 Gujarat - India Phone : Fax : Email :roselabs123@gmail.com Internet :,22.9668417,72.5602978,Ahmedabad,Ahmedabad,Gujarat
L15200MH1997PLC107525,VADILAL DAIRY INTERNATIONAL LIMITED,Factory/plant,Forex Division: Ahmedabad - Gujarat - India Phone : 079-26564025 Fax : Email : Internet :,23.0322022,72.5604258,Ahmedabad,Ahmedabad,Gujarat
U45208GJ2006PLC048746,DISHMAN INFRASTRUCTURE LIMITED,Factory/plant,Phase IV Ahmedabad - 382330 Gujarat - India Phone : Fax : Email : Internet :,23.0358331,72.5611792,Ahmedabad,Ahmedabad,Gujarat
U45208GJ2006PLC048746,DISHMAN INFRASTRUCTURE LIMITED,Factory/plant,Survey No 47 Ahmedabad District - 382220 Gujarat - India Phone : Fax : Email : Internet :,23.0358331,72.5611792,Ahmedabad,Ahmedabad,Gujarat
U05510KA2005PTC036813,ROYAL ORCHID JAIPUR PRIVATE LIMITED,Factory/plant,Regenta: Ahmedabad - 380013 Gujarat - India Phone : Fax : Email : Internet :,23.0599377,72.5612458,Ahmedabad,Ahmedabad,Gujarat
L45201GJ2008PLC055771,ARVIND SMARTSPACES LIMITED,Factory/plant,Lifestyle Fabrics - Voiles: Ahmedabad - 380022 Gujarat - India Phone : 079-30137200 Fax : 079-30137350 Email :brijesh.bhati@arvind.in Internet :,23.0334642,72.5616486,Ahmedabad,Ahmedabad,Gujarat
L45201GJ2008PLC055771,ARVIND SMARTSPACES LIMITED,Factory/plant,Lifestyle Fabrics - Denim: Ahmedabad - 380025 Gujarat - India Phone : 079-30138000 Fax : 079-30138671 Email :subir.mukherjee@arvind.in Internet :,23.0334642,72.5616486,Ahmedabad,Ahmedabad,Gujarat
